author	ntokens	year_of_birth
hännrick	54729	1976
Svalan75	53912	1976
mini75	52641	1976
Mineko	52422	1976
Minisen	52187	1976
Primmeling	51803	1976
LindaS75	51226	1976
Klunsen111	51128	1976
Trissy	51075	1976
Misan S	51048	1976
annawall	49854	1976
TildisVildis	49187	1976
Humminggirl	48430	1976
Bollas	48300	1976
Gubbas	47759	1976
stayinshape	46638	1976
Filurken	46348	1976
Poddan	46046	1976
Vitsippa75	45264	1976
MammanZ	44626	1976
Neol	44483	1976
Humlan75	44005	1976
Fröken Snork	42759	1976
Bubbles	42655	1976
Fleur	42080	1976
Madaluha	41421	1976
Rutgers	41271	1976
Bergling	38880	1976
Ossie	38188	1976
Ester W	38023	1976
Autumnbeauty	37106	1976
Anka75	36034	1976
Aktalia	35993	1976
Izzo	35666	1976
BTD	34874	1976
majken1975	34800	1976
Loppan75	34739	1976
Yvonne	34378	1976
mini07	34130	1976
Musche	34059	1976
Mjukamilla	33717	1976
nonameleft	32340	1976
BeanGirl	32245	1976
kexkille	31452	1976
pingstlilja	31361	1976
Lyckliga jag2	31084	1976
Helendi	31043	1976
Johanna75	30998	1976
romlen	30908	1976
Magic	30861	1976
jazzan	30113	1976
Najo	29494	1976
tompatiger	28116	1976
innak	27942	1976
Sebastian05	27866	1976
Miss M V	27180	1976
Saja75	26634	1976
KN75	26318	1976
nathana1	26312	1976
Monitzzz	26152	1976
Spanjoren	26007	1976
Ella N	25963	1976
AishaYasmine	25426	1976
How about cupcakes	25352	1976
mrshudson75	25180	1976
Guavasylt	24863	1976
Mymla X	24438	1976
Soti75	24393	1976
MysSarah	23667	1976
Helena1975	23431	1976
Katzy	22948	1976
Ettanvändarnamningenannanhar	22896	1976
Liam0411	22860	1976
lisala	22851	1976
Emilia75	22603	1976
charmig	22274	1976
Mysan75	22091	1976
Kristina30p	21981	1976
greatdaysfan	21949	1976
anka11	21770	1976
Sis2	21637	1976
spallen	21266	1976
zest	21052	1976
englarum2008	21039	1976
Aggi	20976	1976
Frukost	20463	1976
mimo	20393	1976
Prinsessmamman	20325	1976
Maltemånsson	20307	1976
t4me	20241	1976
litenkotte	20050	1976
kica	19969	1976
Sofiapers	19860	1976
Fröken Julie	19514	1976
virvel	19135	1976
Äpplet75	19054	1976
Gwendolyn	18818	1976
isefisen	18644	1976
madde10	17788	1976
Azevedo	17616	1976
HeddaSophie	17583	1976
Floppan	17412	1976
gson	17406	1976
tusselisan	17277	1976
Pyttet	17270	1976
LisaSthlm	17178	1976
Gandalf	16979	1976
Vågatillslut	16927	1976
Trixi	16407	1976
Mivo	16217	1976
AKJ	16115	1976
Karin J	15759	1976
Suzycreamcheese	15341	1976
emersson75	15223	1976
Stargazer	15201	1976
Danskan	15157	1976
Särlan	15108	1976
Inåå	14921	1976
Fröken OK	14911	1976
längtar7580	14765	1976
mamma9905	14458	1976
Nyfikna jag	14336	1976
Fertilitetsresa	14268	1976
ekp	14244	1976
Tatami	14239	1976
Tistel	14074	1976
monny	13972	1976
